Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
PHP,libraries/cms/version/version.php,version.php,245,95,115,35,8,5945,131
PHP,components/com_users/controllers/user.php,user.php,295,159,86,50,15,7271,153
PHP,administrator/components/com_media/helpers/media.php,media.php,129,40,76,13,0,3494,68
XML,administrator/manifests/files/joomla.xml,joomla.xml,54,50,0,4,0,1878,51
SQL,installation/sql/mysql/joomla.sql,joomla.sql,1975,1412,325,238,0,125440,1106
SQL,installation/sql/sqlazure/joomla.sql,joomla.sql,3013,2597,67,349,0,165218,1322
SQL,installation/sql/postgresql/joomla.sql,joomla.sql,1959,1559,269,131,2,129453,1295
PHP,includes/framework.php,framework.php,100,60,15,25,7,2207,61
PHP,administrator/includes/framework.php,framework.php,100,60,15,25,7,2132,62
PHP,libraries/joomla/filesystem/file.php,file.php,594,339,165,90,54,13884,234
PHP,build/build.php,build.php,250,150,58,42,17,9463,188
