Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Python,mindsdb/integrations/handlers/web_handler/web_handler.py,web_handler.py,113,79,6,28,16,3161,85
Python,mindsdb/api/http/utils.py,utils.py,40,37,0,3,0,1170,32
Python,tests/unit/ml_handlers/test_openai.py,test_openai.py,262,245,9,8,9,9742,142
Python,tests/unit/ml_handlers/test_langchain_embedding.py,test_langchain_embedding.py,365,353,6,6,9,11106,149
Python,tests/handler_tests/test_instatus_handler.py,test_instatus_handler.py,144,135,0,9,0,6324,117
Python,mindsdb/integrations/handlers/rag_handler/settings.py,settings.py,471,462,2,7,2,15331,326
Python,mindsdb/utilities/security.py,security.py,33,16,11,6,3,751,24
Plain Text,mindsdb/integrations/handlers/langchain_handler/requirements.txt,requirements.txt,7,7,0,0,0,273,8
Plain Text,mindsdb/integrations/handlers/langchain_embedding_handler/requirements.txt,requirements.txt,2,2,0,0,0,32,3
Plain Text,mindsdb/integrations/handlers/rag_handler/requirements.txt,requirements.txt,9,9,0,0,0,180,8
Plain Text,mindsdb/integrations/handlers/anyscale_endpoints_handler/requirements.txt,requirements.txt,2,2,0,0,0,81,3
Plain Text,mindsdb/integrations/handlers/llama_index_handler/requirements.txt,requirements.txt,3,3,0,0,0,54,4
Plain Text,mindsdb/integrations/handlers/openai_handler/requirements.txt,requirements.txt,2,2,0,0,0,34,3
Python,mindsdb/integrations/handlers/openai_handler/openai_handler.py,openai_handler.py,842,818,14,10,15,34331,600
Python,mindsdb/integrations/handlers/llama_index_handler/llama_index_handler.py,llama_index_handler.py,298,277,2,19,19,11554,221
Python,mindsdb/integrations/handlers/langchain_handler/langchain_handler.py,langchain_handler.py,430,403,11,16,16,20249,314
Python,mindsdb/integrations/handlers/instatus_handler/instatus_tables.py,instatus_tables.py,393,268,83,42,99,15203,240
Python,mindsdb/integrations/handlers/instatus_handler/instatus_handler.py,instatus_handler.py,127,80,23,24,17,4076,97
Python,mindsdb/integrations/handlers/openai_handler/helpers.py,helpers.py,152,139,6,7,1,5534,116
Python,mindsdb/integrations/handlers/llama_index_handler/github_loader_helper.py,github_loader_helper.py,65,32,22,11,12,2269,43
Python,mindsdb/api/http/namespaces/file.py,file.py,179,147,6,26,29,5921,138
Python,mindsdb/integrations/handlers/dremio_handler/dremio_handler.py,dremio_handler.py,240,142,50,48,16,7312,145
Python,mindsdb/integrations/handlers/openai_handler/constants.py,constants.py,31,27,0,4,6,1165,26
Python,mindsdb/integrations/handlers/llama_index_handler/config.py,config.py,18,16,2,0,0,515,16
Python,mindsdb/integrations/handlers/anyscale_endpoints_handler/anyscale_endpoints_handler.py,anyscale_endpoints_handler.py,173,134,12,27,31,7937,134
Python,mindsdb/integrations/handlers/llama_index_handler/__init__.py,__init__.py,18,13,0,5,2,469,14
Python,mindsdb/__about__.py,__about__.py,10,10,0,0,0,434,11
Python,mindsdb/integrations/handlers/llama_index_handler/__about__.py,__about__.py,9,9,0,0,0,359,10
Markdown,mindsdb/integrations/handlers/instatus_handler/README.md,README.md,207,175,0,32,0,5757,126
Markdown,mindsdb/integrations/handlers/llama_index_handler/README.md,README.md,122,106,0,16,0,3312,74
