Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
C,ext/phar/zip.c,zip.c,1542,1199,138,205,356,53416,877
C,Zend/zend_objects_API.c,zend_objects_API.c,201,146,32,23,43,6724,126
LEX,Zend/zend_language_scanner.l,zend_language_scanner.l,3038,2370,166,502,0,73130,1562
C,Zend/zend_hash.c,zend_hash.c,2853,2426,70,357,765,72667,1219
C,Zend/zend_execute_API.c,zend_execute_API.c,1616,1284,118,214,338,45312,881
C,Zend/zend_alloc.c,zend_alloc.c,3023,2512,218,293,492,91999,1569
C,main/streams/xp_socket.c,xp_socket.c,937,733,53,151,218,25346,507
ReasonML,ext/standard/var_unserializer.re,var_unserializer.re,1213,900,151,162,256,31489,664
C,ext/standard/var.c,var.c,1337,1079,103,155,238,38116,723
C,ext/phar/util.c,util.c,2076,1635,123,318,508,55229,924
C,ext/spl/spl_observer.c,spl_observer.c,1239,900,114,225,221,35915,586
C,ext/spl/spl_dllist.c,spl_dllist.c,1401,976,143,282,208,37159,660
C,ext/spl/spl_directory.c,spl_directory.c,2922,2286,318,318,366,86141,1326
C,ext/spl/spl_array.c,spl_array.c,1991,1529,175,287,424,59746,1034
C,ext/session/session.c,session.c,3194,2399,308,487,621,92636,1596
C,sapi/apache2handler/sapi_apache2.c,sapi_apache2.c,752,565,66,121,115,20812,455
C,ext/zip/php_zip.c,php_zip.c,3282,2453,318,511,537,85898,1477
C Header,main/php_version.h,php_version.h,8,6,2,0,0,272,9
C,main/php_variables.c,php_variables.c,928,743,65,120,242,25686,572
C,ext/mbstring/php_mbregex.c,php_mbregex.c,1675,1321,180,174,326,43049,936
Autoconf,sapi/fpm/php-fpm.conf.in,php-fpm.conf.in,143,121,0,22,13,5379,112
C,ext/phar/phar.c,phar.c,3591,2768,333,490,917,103151,1869
C,ext/pdo/pdo_stmt.c,pdo_stmt.c,2623,2035,201,387,609,72371,1343
ReasonML,ext/date/lib/parse_date.re,parse_date.re,2517,2116,149,252,565,74700,1322
C,ext/date/lib/parse_date.c,parse_date.c,25622,25360,65,197,14792,533151,7804
C,ext/mysqlnd/mysqlnd_wireprotocol.c,mysqlnd_wireprotocol.c,2758,2052,334,372,319,91484,1411
C,ext/intl/msgformat/msgformat_format.c,msgformat_format.c,141,87,32,22,17,4078,93
C,ext/intl/locale/locale_methods.c,locale_methods.c,1605,1069,326,210,299,45462,906
C,ext/curl/interface.c,interface.c,3494,2844,244,406,461,107593,2140
C,ext/standard/http_fopen_wrapper.c,http_fopen_wrapper.c,1019,793,99,127,413,33503,710
C,ext/standard/html.c,html.c,1593,1231,221,141,414,46453,927
C,ext/gd/libgd/gd_webp.c,gd_webp.c,200,174,1,25,30,4124,118
C,ext/gd/libgd/gd_wbmp.c,gd_wbmp.c,227,107,93,27,16,5611,134
C,ext/gd/libgd/gd_jpeg.c,gd_jpeg.c,866,510,211,145,107,26933,498
C,ext/gd/libgd/gd_interpolation.c,gd_interpolation.c,2562,1992,237,333,434,72034,1428
C,ext/gd/libgd/gd_gif_out.c,gd_gif_out.c,788,433,233,122,67,21247,498
C,ext/gd/libgd/gd_gd2.c,gd_gd2.c,851,656,70,125,189,19995,443
C,ext/gd/gd.c,gd.c,4256,3054,501,701,590,111589,1875
C,ext/gd/libgd/gd.c,gd.c,3165,2586,272,307,685,73714,1694
C,sapi/fpm/fpm/fpm_unix.c,fpm_unix.c,587,473,35,79,143,16609,322
C,sapi/fpm/fpm/fpm_stdio.c,fpm_stdio.c,356,284,30,42,71,9243,214
C,sapi/fpm/fpm/fpm_log.c,fpm_log.c,473,387,15,71,124,11735,258
C,sapi/fpm/fpm/fpm_children.c,fpm_children.c,495,362,32,101,94,11816,273
C,ext/standard/file.c,file.c,2467,1925,202,340,350,67778,1303
C,ext/exif/exif.c,exif.c,4774,3938,447,389,551,158850,3186
C,ext/standard/exec.c,exec.c,587,479,61,47,59,13498,342
C,ext/standard/dns.c,dns.c,1163,968,88,107,187,29458,662
C,ext/fileinfo/libmagic/cdf.c,cdf.c,1623,1401,53,169,240,41387,980
C,main/SAPI.c,SAPI.c,1152,911,86,155,239,31641,679
