Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
TypeScript,plugins/cardwall/scripts/lib/card-fields/vite.config.ts,vite.config.ts,39,19,18,2,0,1265,34
PHP,plugins/velocity/include/velocityPlugin.php,velocityPlugin.php,281,202,38,41,14,10361,178
XML,tests/rest/_fixtures/17-private-template/users.xml,users.xml,17,17,0,0,0,492,14
XML,tests/rest/_fixtures/16-public-template/users.xml,users.xml,3,3,0,0,0,56,4
CSV,tests/rest/_fixtures/16-public-template/user_map.csv,user_map.csv,1,1,0,0,0,20,2
CSV,tests/rest/_fixtures/17-private-template/user_map.csv,user_map.csv,1,1,0,0,0,20,2
XML,tests/psalm/tuleap-baseline.xml,tuleap-baseline.xml,76974,76972,0,2,0,3159019,21300
PHP,plugins/tracker/include/trackerPlugin.php,trackerPlugin.php,2908,2463,135,310,107,123203,1766
Shell,tests/rest/bin/setup.sh,setup.sh,147,121,3,23,10,5022,115
XML,tests/psalm/psalm.xml,psalm.xml,1407,1397,1,9,0,141674,1390
Mustache,src/templates/project/project_visibility.mustache,project_visibility.mustache,70,70,0,0,0,3077,61
PHP,plugins/project_ownership/include/project_ownershipPlugin.php,project_ownershipPlugin.php,241,186,31,24,7,9734,154
XML,tests/rest/_fixtures/17-private-template/project.xml,project.xml,20,20,0,0,0,750,17
XML,tests/rest/_fixtures/16-public-template/project.xml,project.xml,7,7,0,0,0,275,8
Mustache,plugins/tracker/templates/form-element/permissions_on_artifact_massupdate.mustache,permissions_on_artifact_massupdate.mustache,8,8,0,0,0,360,9
JSON,plugins/cardwall/scripts/lib/card-fields/package.json,package.json,36,36,0,0,0,934,34
PHP,plugins/ldap/bin/ldap_sync.php,ldap_sync.php,90,58,24,8,13,3987,75
PHP,plugins/ldap/include/ldapPlugin.php,ldapPlugin.php,1403,1031,221,151,126,51827,747
JavaScript,plugins/kanban/scripts/kanban/src/app/kanban-service.js,kanban-service.js,384,320,18,46,3,11937,196
PHP,tests/rest/bin/init_data.php,init_data.php,79,50,21,8,0,2519,60
JavaScript,plugins/cardwall/scripts/lib/card-fields/src/index.js,index.js,22,19,0,3,0,1087,20
PHP,plugins/hudson_git/include/hudson_gitPlugin.php,hudson_gitPlugin.php,458,379,33,46,10,17601,296
JavaScript,plugins/cardwall/scripts/lib/card-fields/src/highlight-filter.js,highlight-filter.js,33,16,11,6,1,870,27
TypeScript,plugins/cardwall/scripts/lib/card-fields/src/highlight-filter-template.ts,highlight-filter-template.ts,46,26,18,2,10,1724,42
TypeScript,plugins/cardwall/scripts/lib/card-fields/src/highlight-filter-template.test.ts,highlight-filter-template.test.ts,201,138,18,45,0,5378,74
PHP,src/www/file/file_utils.php,file_utils.php,1419,1180,102,137,213,66776,931
TypeScript,plugins/document/scripts/document/helpers/emitter.ts,emitter.ts,143,105,19,19,5,4465,105
PHP,src/www/project/admin/editgroupinfo.php,editgroupinfo.php,99,63,23,13,0,3937,78
PHP,plugins/cardwall/include/cardwallPlugin.php,cardwallPlugin.php,725,548,92,85,47,28502,436
HTML,plugins/cardwall/scripts/lib/card-fields/src/card-fields.tpl.html,card-fields.tpl.html,81,80,1,0,0,4318,48
JavaScript,plugins/cardwall/scripts/lib/card-fields/src/card-fields-service.js,card-fields-service.js,204,170,0,34,13,6183,136
Mustache,plugins/tracker/templates/tooltip/artifact-tooltip-title.mustache,artifact-tooltip-title.mustache,4,4,0,0,0,155,5
PHP,plugins/agiledashboard/include/agiledashboardPlugin.php,agiledashboardPlugin.php,1890,1519,136,235,65,75126,1053
PHP,tests/unit/common/Project/UserRemoverTest.php,UserRemoverTest.php,157,113,18,26,0,7431,102
PHP,src/common/Project/UserRemoverDao.php,UserRemoverDao.php,54,28,18,8,0,1774,39
PHP,src/common/Project/UserRemover.php,UserRemover.php,228,150,39,39,12,6800,140
PHP,plugins/tracker/include/Tracker/Permission/UserGroupInProject.php,UserGroupInProject.php,35,11,21,3,0,993,28
PHP,src/common/Project/Admin/Visibility/UpdateVisibilityStatus.php,UpdateVisibilityStatus.php,52,27,18,7,0,1406,36
PHP,src/common/Project/Admin/Visibility/UpdateVisibilityIsAllowedEvent.php,UpdateVisibilityIsAllowedEvent.php,51,25,18,8,0,1581,35
PHP,tests/unit/common/Project/Admin/Visibility/UpdateVisibilityCheckerTest.php,UpdateVisibilityCheckerTest.php,148,101,27,20,0,5681,74
PHP,plugins/project_ownership/tests/unit/ProjectAdmin/UpdateVisibilityCheckerTest.php,UpdateVisibilityCheckerTest.php,80,47,18,15,0,2823,47
