Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Python,keylime/common/validators.py,validators.py,68,48,6,14,13,1721,43
Python,keylime/tpm/tpm_util_test.py,tpm_util_test.py,151,143,1,7,3,7735,114
Python,keylime/tpm/tpm_util.py,tpm_util.py,575,446,73,56,36,20110,376
Python,keylime/tpm/tpm_main.py,tpm_main.py,540,452,28,60,59,22569,374
Python,test/test_validators.py,test_validators.py,122,94,12,16,0,4074,68
Python,keylime/tenant.py,tenant.py,1775,1757,4,14,97,78612,1093
Python,keylime/revocation_notifier.py,revocation_notifier.py,193,179,2,12,7,7677,147
Python,keylime/registrar_common.py,registrar_common.py,628,622,0,6,32,26919,422
Shell,installer.sh,installer.sh,463,378,36,49,58,17436,302
Python,keylime/ima/ima.py,ima.py,554,509,17,28,28,21780,391
Python,keylime/config.py,config.py,437,410,8,19,13,16289,293
Python,keylime/cloud_verifier_tornado.py,cloud_verifier_tornado.py,1819,1812,0,7,55,77561,1072
Python,keylime/cloud_verifier_common.py,cloud_verifier_common.py,379,356,8,15,17,14460,282
