Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Ruby,app/controllers/users_controller.rb,users_controller.rb,1062,561,360,141,84,29688,494
CoffeeScript,app/assets/javascripts/app/controllers/user_profile.coffee,user_profile.coffee,269,212,8,49,16,6211,189
Ruby,app/models/user.rb,user.rb,1236,659,375,202,215,32178,629
Ruby,app/policies/controllers/tickets_controller_policy.rb,tickets_controller_policy.rb,6,6,0,0,0,359,7
Ruby,app/controllers/tickets_controller.rb,tickets_controller.rb,716,529,79,108,66,19801,403
Ruby,spec/requests/ticket_spec.rb,ticket_spec.rb,2295,2099,2,194,0,101236,645
Ruby,app/policies/ticket_policy.rb,ticket_policy.rb,85,74,2,9,3,1912,50
Ruby,app/controllers/ticket_articles_controller.rb,ticket_articles_controller.rb,291,206,31,54,41,8047,166
Ruby,test/browser/signup_password_change_and_reset_test.rb,signup_password_change_and_reset_test.rb,267,225,10,32,0,5727,83
CoffeeScript,app/assets/javascripts/app/controllers/signup.coffee,signup.coffee,117,89,6,22,10,2846,88
Ruby,spec/db/migrate/role_signup_column_fix_spec.rb,role_signup_column_fix_spec.rb,30,25,0,5,0,902,22
Ruby,spec/factories/role.rb,role.rb,19,16,0,3,0,421,15
Ruby,app/models/role.rb,role.rb,233,120,70,43,31,7155,120
Ruby,db/seeds/permissions.rb,permissions.rb,460,452,0,8,0,10561,159
Ruby,lib/auth/internal.rb,internal.rb,29,19,1,9,6,710,20
CoffeeScript,app/assets/javascripts/app/controllers/email_verify.coffee,email_verify.coffee,56,44,2,10,0,1206,34
Ruby,spec/requests/ticket/article_spec.rb,article_spec.rb,709,613,1,95,7,27148,265
Ruby,spec/policies/ticket/article_policy_spec.rb,article_policy_spec.rb,66,47,0,19,0,1681,36
Ruby,app/policies/ticket/article_policy.rb,article_policy.rb,63,44,2,17,13,1499,36
Ruby,db/migrate/20201112000000_role_signup_column_fix.rb,20201112000000_role_signup_column_fix.rb,35,28,1,6,2,1061,29
Ruby,db/migrate/20120101000001_create_base.rb,20120101000001_create_base.rb,751,689,2,60,0,36848,555
