Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
PHP,userfiles/modules/settings/group/template.php,template.php,67,47,0,20,3,1925,41
PHP,src/Microweber/functions/plupload.php,plupload.php,539,388,41,110,86,19557,345
PHP,src/Microweber/functions/other.php,other.php,868,480,153,235,59,23486,425
PHP,userfiles/modules/microweber/toolbar/editor_tools/module_settings/index.php,index.php,516,334,16,166,106,15445,311
PHP,userfiles/modules/microweber/toolbar/editor_tools/rte_image_editor/index.php,index.php,554,417,6,131,60,16460,336
PHP,userfiles/modules/users/edit_user.php,edit_user.php,353,292,9,52,43,12021,221
PHP,userfiles/modules/users/controller.php,controller.php,3,2,0,1,0,23,3
JSON,composer.json,composer.json,59,59,0,0,0,1277,55
PHP,src/Microweber/functions/api_callbacks.php,api_callbacks.php,136,100,3,33,2,3490,92
JavaScript,userfiles/modules/microweber/api/api.js,api.js,733,639,8,86,173,23902,492
PHP,src/Microweber/Providers/UserManager.php,UserManager.php,1628,1164,156,308,255,54707,882
PHP,src/Microweber/Providers/UrlManager.php,UrlManager.php,631,425,108,98,76,24369,343
PHP,src/Microweber/Utils/Parser.php,Parser.php,1593,1204,52,337,269,67016,854
PHP,src/Microweber/Controllers/DefaultController.php,DefaultController.php,2776,2119,97,560,550,110449,1528
PHP,src/Microweber/Providers/DatabaseManager.php,DatabaseManager.php,706,431,164,111,150,21063,382
