Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
PHP,routes/web.php,web.php,1137,731,245,161,0,59392,585
Twig Template,resources/views/v1/bills/show.twig,show.twig,171,158,0,13,11,8003,98
Twig Template,resources/views/v1/transactions/show.twig,show.twig,432,400,0,32,62,26449,267
JavaScript,public/v1/js/ff/transactions/show.js,show.js,82,53,21,8,0,2766,64
PHP,config/session.php,session.php,40,19,19,2,0,1487,36
Twig Template,resources/views/v1/auth/passwords/reset.twig,reset.twig,49,38,0,11,3,1843,34
Twig Template,resources/views/v1/reports/audit/report.twig,report.twig,92,81,0,11,5,3549,59
Twig Template,resources/views/v2/auth/register.twig,register.twig,116,99,0,17,3,5002,71
Twig Template,resources/views/v1/auth/register.twig,register.twig,53,43,0,10,2,2238,38
Twig Template,resources/views/v2/partials/layout/navbar.twig,navbar.twig,121,116,0,5,0,6038,72
Twig Template,resources/views/v1/partials/menu-sidebar.twig,menu-sidebar.twig,232,213,0,19,4,9383,123
Twig Template,resources/views/v1/auth/login.twig,login.twig,86,79,0,7,9,3803,57
Twig Template,resources/views/v1/profile/index.twig,index.twig,293,262,0,31,7,17076,184
Twig Template,resources/views/v1/currencies/index.twig,index.twig,100,97,0,3,10,5593,81
Twig Template,resources/views/v1/rules/index.twig,index.twig,194,181,0,13,24,12747,151
Twig Template,resources/views/v1/budgets/index.twig,index.twig,479,461,0,18,45,33836,333
JavaScript,public/v1/js/ff/budgets/index.js,index.js,407,195,181,31,16,13944,276
JavaScript,public/v1/js/ff/rules/index.js,index.js,192,127,37,28,13,6049,137
Twig Template,resources/views/v1/list/groups.twig,groups.twig,288,282,0,6,51,17842,203
JavaScript,public/v1/js/ff/list/groups.js,groups.js,209,129,54,26,9,5804,142
Twig Template,resources/views/v1/auth/passwords/email.twig,email.twig,56,42,0,14,6,1714,39
Twig Template,resources/views/v1/transactions/links/delete.twig,delete.twig,33,30,0,3,0,1893,27
Twig Template,resources/views/v1/transactions/convert.twig,convert.twig,285,251,0,34,33,21925,146
Markdown,changelog.md,changelog.md,2689,2192,0,497,0,175866,1840
PHP,app/Support/Http/Controllers/UserNavigation.php,UserNavigation.php,183,92,69,22,12,6487,109
PHP,app/Api/V1/Controllers/UserController.php,UserController.php,189,80,79,30,2,5896,98
PHP,app/Factory/TransactionCurrencyFactory.php,TransactionCurrencyFactory.php,107,54,40,13,6,3429,79
PHP,app/Http/Middleware/StartFireflySession.php,StartFireflySession.php,60,25,31,4,6,1926,51
PHP,app/Repositories/RuleGroup/RuleGroupRepository.php,RuleGroupRepository.php,391,223,121,47,8,10853,191
PHP,app/Http/Controllers/Auth/LoginController.php,LoginController.php,225,109,82,34,15,7616,143
PHP,app/Exceptions/Handler.php,Handler.php,159,88,53,18,18,5864,115
PHP,app/Http/Controllers/RuleGroup/EditController.php,EditController.php,155,69,62,24,2,4633,96
PHP,app/Services/Internal/Update/CurrencyUpdateService.php,CurrencyUpdateService.php,63,24,32,7,1,1875,48
PHP,app/Http/Controllers/CurrencyController.php,CurrencyController.php,441,235,132,74,22,17281,208
PHP,app/Http/Controllers/Transaction/CreateController.php,CreateController.php,131,73,41,17,0,4429,97
PHP,app/Http/Controllers/Rule/CreateController.php,CreateController.php,289,162,81,46,13,10183,153
PHP,app/Repositories/Budget/BudgetLimitRepository.php,BudgetLimitRepository.php,456,287,131,38,23,19737,305
PHP,app/Repositories/Budget/AvailableBudgetRepositoryInterface.php,AvailableBudgetRepositoryInterface.php,157,25,113,19,0,4493,70
PHP,app/Repositories/Budget/AvailableBudgetRepository.php,AvailableBudgetRepository.php,311,170,109,32,12,10062,164
PHP,app/Http/Controllers/Budget/AvailableBudgetController.php,AvailableBudgetController.php,254,136,85,33,9,8854,149
PHP,app/Http/Middleware/Authenticate.php,Authenticate.php,138,55,67,16,5,4195,96
PHP,app/Helpers/Attachments/AttachmentHelper.php,AttachmentHelper.php,403,222,137,44,22,12402,223
