Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Twig Template,src/Oro/Bundle/UIBundle/Resources/views/actions/update.html.twig,update.html.twig,260,238,0,22,27,13440,197
JavaScript,src/Oro/Bundle/UIBundle/Resources/public/js/tools.js,tools.js,497,310,141,46,70,16596,306
YAML,src/Oro/Bundle/AttachmentBundle/Resources/config/services.yml,services.yml,811,690,3,118,0,35311,426
YAML,src/Oro/Bundle/EmailBundle/Resources/config/services.yml,services.yml,1479,1281,7,191,0,60012,667
PHP,src/Oro/Bundle/UIBundle/Twig/UiExtension.php,UiExtension.php,704,447,174,83,47,21968,410
PHP,src/Oro/Bundle/AttachmentBundle/Tests/Unit/EventListener/MultiFileBlockListenerTest.php,MultiFileBlockListenerTest.php,499,412,15,72,0,18667,167
PHP,src/Oro/Bundle/AttachmentBundle/EventListener/MultiFileBlockListener.php,MultiFileBlockListener.php,146,109,11,26,9,5101,86
PHP,src/Oro/Bundle/EmailBundle/Tests/Unit/Provider/EmailRendererTest.php,EmailRendererTest.php,193,162,0,31,0,7599,128
PHP,src/Oro/Bundle/EmailBundle/Provider/EmailRenderer.php,EmailRenderer.php,82,48,21,13,0,2707,57
PHP,src/Oro/Bundle/UIBundle/Event/BeforeFormRenderEvent.php,BeforeFormRenderEvent.php,87,39,36,12,0,1707,49
