Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
C Header,include/freerdp/codec/zgfx.h,zgfx.h,66,34,18,14,0,2346,48
C,libfreerdp/codec/zgfx.c,zgfx.c,632,485,47,100,82,16828,411
C,libfreerdp/core/window.c,window.c,1061,839,32,190,168,31844,523
C,client/Windows/wf_cliprdr.c,wf_cliprdr.c,2552,1961,98,493,387,63422,1224
C,libfreerdp/core/update.c,update.c,3375,2550,101,724,403,96377,1240
C,libfreerdp/core/transport.c,transport.c,1808,1384,104,320,233,42432,835
C,winpr/libwinpr/sspi/sspi.c,sspi.c,1129,841,25,263,85,34441,479
C,server/shadow/shadow_server.c,shadow_server.c,1002,827,34,141,206,25361,501
C,server/shadow/shadow.c,shadow.c,186,145,21,20,9,7499,149
C,channels/serial/client/serial_main.c,serial_main.c,982,663,173,146,104,29233,564
C,libfreerdp/core/security.c,security.c,1001,749,65,187,155,33277,444
C,libfreerdp/codec/rfx.c,rfx.c,2458,1950,103,405,259,77337,1347
C,libfreerdp/codec/region.c,region.c,820,511,178,131,136,22510,467
C,libfreerdp/core/redirection.c,redirection.c,1257,964,83,210,218,34885,650
C,channels/rdpei/client/rdpei_main.c,rdpei_main.c,1467,1072,191,204,193,40858,643
C Header,libfreerdp/core/rdp.h,rdp.h,303,232,22,49,1,9830,249
C,libfreerdp/core/rdp.c,rdp.c,2891,2279,135,477,459,75414,1372
C,libfreerdp/core/gateway/rdg.c,rdg.c,2337,1851,75,411,320,61511,1150
C,channels/printer/client/printer_main.c,printer_main.c,1193,889,78,226,149,28711,570
C,libfreerdp/codec/planar.c,planar.c,1800,1470,52,278,242,45145,863
C,libfreerdp/core/peer.c,peer.c,1613,1305,51,257,189,43104,775
C,channels/parallel/client/parallel_main.c,parallel_main.c,527,369,72,86,53,11963,253
C Header,libfreerdp/core/orders.h,orders.h,286,220,29,37,0,11915,243
C,libfreerdp/core/orders.c,orders.c,4307,3593,44,670,565,133635,1846
C,winpr/libwinpr/sspi/NTLM/ntlm_message.c,ntlm_message.c,1397,1071,58,268,225,46021,652
C,winpr/libwinpr/sspi/NTLM/ntlm_compute.c,ntlm_compute.c,939,616,170,153,65,29135,505
C,winpr/libwinpr/sspi/NTLM/ntlm_av_pairs.c,ntlm_av_pairs.c,778,571,61,146,114,21626,421
C Header,libfreerdp/codec/nsc_types.h,nsc_types.h,75,40,21,14,0,2050,58
C,libfreerdp/codec/sse/nsc_sse2.c,nsc_sse2.c,400,344,18,38,22,16418,261
C Header,libfreerdp/codec/nsc_encode.h,nsc_encode.h,30,6,20,4,0,1072,24
C,libfreerdp/codec/nsc_encode.c,nsc_encode.c,539,431,28,80,58,14919,314
C Header,include/freerdp/codec/nsc.h,nsc.h,82,47,21,14,0,3113,63
C,libfreerdp/codec/nsc.c,nsc.c,516,400,26,90,73,12762,296
C,libfreerdp/core/nla.c,nla.c,2111,1491,245,375,307,51798,991
C,libfreerdp/core/nego.c,nego.c,2010,1464,250,296,284,51525,857
C,libfreerdp/codec/ncrush.c,ncrush.c,3039,2800,23,216,186,116454,2040
C,libfreerdp/core/license.c,license.c,2922,2118,298,506,317,86185,1457
C,channels/urbdrc/client/libusb/libusb_udevice.c,libusb_udevice.c,1841,1438,100,303,218,54947,1010
C,libfreerdp/codec/interleaved.c,interleaved.c,756,610,42,104,66,19597,406
C,libfreerdp/core/info.c,info.c,1568,1134,130,304,221,45270,782
C,libfreerdp/gdi/graphics.c,graphics.c,465,354,23,88,72,12050,253
C,libfreerdp/cache/glyph.c,glyph.c,892,646,43,203,162,22285,433
C,client/common/man/generate_argument_docbook.c,generate_argument_docbook.c,211,198,0,13,14,4251,139
C,libfreerdp/core/gcc.c,gcc.c,2430,1676,352,402,306,72471,1165
C,channels/drive/client/drive_main.c,drive_main.c,1120,812,119,189,150,27403,490
C Header,channels/drive/client/drive_file.h,drive_file.h,67,36,24,7,0,2552,58
C,channels/drive/client/drive_file.c,drive_file.c,996,753,67,176,168,31516,496
C,channels/urbdrc/client/data_transfer.c,data_transfer.c,1951,1518,72,361,276,63302,746
C,libfreerdp/crypto/crypto.c,crypto.c,261,197,20,44,40,6939,159
C,libfreerdp/codec/color.c,color.c,1624,1223,95,306,269,43026,684
C,channels/cliprdr/cliprdr_common.c,cliprdr_common.c,627,474,41,112,82,16820,327
C,libfreerdp/core/capabilities.c,capabilities.c,4909,3700,382,827,522,162525,2279
C,libfreerdp/codec/include/bitmap.c,bitmap.c,452,331,49,72,77,10707,216
C,libfreerdp/codec/bitmap.c,bitmap.c,1094,897,48,149,280,28068,373
C,libfreerdp/cache/bitmap.c,bitmap.c,608,449,21,138,83,15577,287
C,libfreerdp/core/autodetect.c,autodetect.c,1086,860,49,177,90,39605,495
