Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Go,internal/route/repo/webhook_test.go,webhook_test.go,54,44,3,7,1,1224,43
Go,internal/database/webhook.go,webhook.go,827,648,69,110,117,21905,515
Go,internal/route/repo/webhook.go,webhook.go,597,510,8,79,79,15005,290
Go,internal/cmd/web.go,web.go,782,657,37,88,47,26953,568
Go,internal/route/user/setting.go,setting.go,742,606,24,112,142,20796,400
Go,internal/database/repo_editor_test.go,repo_editor_test.go,59,44,5,10,1,1630,49
Go,internal/database/repo_editor.go,repo_editor.go,593,456,48,89,139,17254,308
Go,internal/route/api/v1/repo/repo.go,repo.go,468,397,13,58,120,12342,259
Go,internal/route/repo/repo.go,repo.go,343,291,7,45,72,8932,197
Go,internal/form/repo.go,repo.go,433,285,78,70,19,13260,268
Go,internal/pathutil/pathutil_test.go,pathutil_test.go,84,73,4,7,1,1437,44
Go,internal/pathutil/pathutil.go,pathutil.go,17,9,5,3,0,437,15
Go,internal/tool/path_test.go,path_test.go,53,42,3,8,2,1607,37
Go,internal/tool/path.go,path.go,23,11,8,4,7,737,19
Go,internal/auth/pam/pam.go,pam.go,33,24,4,5,5,743,26
Go,internal/netutil/netutil_test.go,netutil_test.go,41,31,3,7,1,1299,34
Go,internal/netutil/netutil.go,netutil.go,72,53,11,8,13,1975,58
INI,conf/locale/locale_en-US.ini,locale_en-US.ini,1430,1342,0,88,0,70355,1328
Go Template,templates/repo/issue/list.tmpl,list.tmpl,155,146,0,9,26,9828,106
Go,internal/route/repo/http.go,http.go,444,369,17,58,78,12427,296
Go,gogs.go,gogs.go,42,30,5,7,2,795,34
Go,internal/database/error.go,error.go,274,178,40,56,0,7043,152
Markdown,CHANGELOG.md,CHANGELOG.md,238,175,0,63,0,16793,157
