Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
JavaScript,modules/backend/formwidgets/richeditor/assets/js/richeditor.js,richeditor.js,483,345,43,95,27,16297,320
JavaScript,modules/backend/formwidgets/mediafinder/assets/js/mediafinder.js,mediafinder.js,170,112,20,38,17,5086,113
PHP,modules/backend/lang/en/lang.php,lang.php,645,644,0,1,19,32537,586
JavaScript,modules/system/assets/js/framework.js,framework.js,977,664,183,130,253,36132,587
JavaScript,modules/system/assets/js/framework.combined-min.js,framework.combined-min.js,252,251,0,1,98,22579,239
JavaScript,modules/system/assets/js/framework-min.js,framework-min.js,190,189,0,1,85,18164,178
PHP,config/cms.php,cms.php,470,50,354,66,0,17018,204
JavaScript,modules/backend/formwidgets/richeditor/assets/js/build-plugins-min.js,build-plugins-min.js,278,277,0,1,34,21715,251
HTML,modules/backend/behaviors/importexportcontroller/partials/_import_file_columns.htm,_import_file_columns.htm,44,43,0,1,0,1916,39
HTML,modules/backend/formwidgets/fileupload/partials/_image_single.htm,_image_single.htm,74,67,3,4,0,3394,67
HTML,modules/backend/formwidgets/fileupload/partials/_image_multi.htm,_image_multi.htm,72,66,3,3,0,3423,65
HTML,modules/backend/formwidgets/fileupload/partials/_file_single.htm,_file_single.htm,76,67,4,5,0,3237,66
HTML,modules/backend/formwidgets/fileupload/partials/_file_multi.htm,_file_multi.htm,73,67,3,3,0,3427,66
PHP,modules/system/classes/UpdateManager.php,UpdateManager.php,1006,531,320,155,74,28080,478
PHP,modules/cms/controllers/Themes.php,Themes.php,314,217,37,60,10,9394,169
PHP,modules/system/ServiceProvider.php,ServiceProvider.php,598,429,116,53,22,22838,379
PHP,modules/backend/ServiceProvider.php,ServiceProvider.php,269,219,37,13,2,12115,186
PHP,modules/system/twig/SecurityPolicy.php,SecurityPolicy.php,80,36,37,7,3,2519,55
PHP,modules/backend/formwidgets/MarkdownEditor.php,MarkdownEditor.php,140,69,53,18,3,3096,78
PHP,modules/backend/behaviors/ImportExportController.php,ImportExportController.php,844,530,156,158,56,24654,429
PHP,modules/backend/models/ExportModel.php,ExportModel.php,206,106,70,30,10,5188,122
PHP,modules/cms/classes/Controller.php,Controller.php,1594,722,680,192,117,51756,760
PHP,modules/cms/widgets/AssetList.php,AssetList.php,746,553,52,141,81,22190,355
PHP,modules/cms/classes/Asset.php,Asset.php,316,185,82,49,25,8785,167
